Source,Target,Type,Id,Label,timeset,Weight
Ludewig 2000,PHYSICAL EDUCATION OF STUDENTS,Directed,72,,,1
Ludewig 2000,SPINAL CORD,Directed,73,,,1
Ludewig 2000,JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,Directed,74,,,4
Ludewig 2000,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,Directed,75,,,47
Ludewig 2000,CLINICAL BIOMECHANICS,Directed,76,,,54
Ludewig 2000,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,Directed,77,,,1
Ludewig 2000,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE,Directed,78,,,2
Ludewig 2000,JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,Directed,79,,,1
Ludewig 2000,JOURNAL OF EXERCISE REHABILITATION,Directed,80,,,1
Ludewig 2000,JOURNAL OF ORTHOPAEDIC RESEARCH,Directed,81,,,8
Ludewig 2000,CIENCIA & SAUDE COLETIVA,Directed,82,,,1
Ludewig 2000,JOURNAL OF ATHLETIC TRAINING,Directed,83,,,27
Ludewig 2000,WORK-A JOURNAL OF PREVENTION ASSESSMENT & REHABILITATION,Directed,84,,,1
Ludewig 2000,EXPERIMENTAL BRAIN RESEARCH,Directed,85,,,4
Ludewig 2000,COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE,Directed,86,,,1
Ludewig 2000,APPLIED BIONICS AND BIOMECHANICS,Directed,87,,,1
Ludewig 2000,MALAYSIAN ORTHOPAEDIC JOURNAL,Directed,88,,,1
Ludewig 2000,JOURNAL OF PEDIATRIC ORTHOPAEDICS,Directed,89,,,1
Ludewig 2000,APPLIED ERGONOMICS,Directed,90,,,2
Ludewig 2000,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Directed,91,,,8
Ludewig 2000,JOURNAL OF TAIBAH UNIVERSITY MEDICAL SCIENCES,Directed,92,,,1
Ludewig 2000,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,Directed,93,,,5
Ludewig 2000,SCANDINAVIAN JOURNAL OF PAIN,Directed,94,,,1
Ludewig 2000,JOURNAL OF PAIN RESEARCH,Directed,95,,,1
Ludewig 2000,PHYSIOTHERAPY,Directed,96,,,4
Ludewig 2000,INTERNATIONAL JOURNAL OF SPORTS MEDICINE,Directed,97,,,4
Ludewig 2000,HUMAN MOVEMENT SCIENCE,Directed,98,,,12
Ludewig 2000,ACTA PHYSIOLOGICA,Directed,99,,,1
Ludewig 2000,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,Directed,100,,,2
Ludewig 2000,SCIENTIFIC REPORTS,Directed,101,,,1
Ludewig 2000,STRENGTH AND CONDITIONING JOURNAL,Directed,102,,,2
Ludewig 2000,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,Directed,103,,,7
Ludewig 2000,TELECOMMUNICATIONS AND COMPUTERS - CETC 2013,Directed,104,,,1
Ludewig 2000,BRITISH JOURNAL OF SPORTS MEDICINE,Directed,105,,,14
Ludewig 2000,JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,Directed,106,,,7
Ludewig 2000,SENSORS,Directed,107,,,2
Ludewig 2000,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,Directed,108,,,4
Ludewig 2000,EUROPEAN JOURNAL OF SPORT SCIENCE,Directed,109,,,1
Ludewig 2000,ERGONOMICS,Directed,110,,,3
Ludewig 2000,AGRI-THE JOURNAL OF THE TURKISH SOCIETY OF ALGOLOGY,Directed,111,,,1
Ludewig 2000,SPORTS BIOMECHANICS,Directed,112,,,2
Ludewig 2000,MUSCLE & NERVE,Directed,113,,,1
Ludewig 2000,AGING CLINICAL AND EXPERIMENTAL RESEARCH,Directed,114,,,1
Ludewig 2000,INTERNATIONAL JOURNAL OF THERAPY AND REHABILITATION,Directed,115,,,1
Ludewig 2000,JOURNAL OF MANUAL & MANIPULATIVE THERAPY,Directed,116,,,2
Ludewig 2000,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,Directed,117,,,15
Ludewig 2000,JOURNAL OF SPINAL CORD MEDICINE,Directed,118,,,1
Ludewig 2000,SOUTH AFRICAN JOURNAL OF PHYSIOTHERAPY,Directed,119,,,1
Ludewig 2000,JOURNAL OF BIOMECHANICS,Directed,120,,,19
Ludewig 2000,ATHLETIC THERAPY TODAY,Directed,121,,,3
Ludewig 2000,JMIR RESEARCH PROTOCOLS,Directed,122,,,2
Ludewig 2000,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Directed,123,,,2
Ludewig 2000,JOURNAL OF HAND THERAPY,Directed,124,,,9
Ludewig 2000,JOURNAL OF ULTRASOUND IN MEDICINE,Directed,125,,,1
Ludewig 2000,PAKISTAN JOURNAL OF MEDICAL SCIENCES,Directed,126,,,1
Ludewig 2000,EUROPEAN JOURNAL OF PHYSIOTHERAPY,Directed,127,,,1
Ludewig 2000,TOPICS IN STROKE REHABILITATION,Directed,128,,,1
Ludewig 2000,SEMINARS IN ARTHRITIS AND RHEUMATISM,Directed,129,,,1
Ludewig 2000,ANNALS OF PHYSICAL AND REHABILITATION MEDICINE,Directed,130,,,1
Ludewig 2000,INTEGRATIVE CANCER THERAPIES,Directed,131,,,1
Ludewig 2000,JOURNAL OF APPLIED BIOMECHANICS,Directed,132,,,15
Ludewig 2000,JOURNAL OF ORTHOPAEDIC TRAUMA,Directed,133,,,3
