Id	Fontes	Citações
307890692	Cutti 2014	FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,INTERNATIONAL ORTHOPAEDICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,CLINICAL BIOMECHANICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,BMC MUSCULOSKELETAL DISORDERS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS
307890694	Parel 2014	MEDICAL ENGINEERING & PHYSICS,CLINICAL BIOMECHANICS,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,SENSORS,DISABILITY AND REHABILITATION,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,GAIT & POSTURE,ROBOTICS AND AUTONOMOUS SYSTEMS,JOURNAL OF SPORTS SCIENCES,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING
307890699	Rogowski 2014	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,JOURNAL OF SPORT REHABILITATION,SPORTS BIOMECHANICS,SPORTS BIOMECHANICS,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE
307890781	Prinold 2013	JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MUSCULOSKELETAL SCIENCE AND PRACTICE,GAIT & POSTURE,PHYSICAL THERAPY IN SPORT,JOURNAL OF SPORTS SCIENCES,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS
307890812	Parel 2012	SENSORS,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,CLINICAL BIOMECHANICS,SOUTH AFRICAN JOURNAL OF PHYSIOTHERAPY,JOURNAL OF REHABILITATION AND ASSISTIVE TECHNOLOGIES ENGINEERING,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,SENSORS,2020 IEEE INTERNATIONAL SYMPOSIUM ON MEDICAL MEASUREMENTS AND APPLICATIONS (MEMEA),BMC MUSCULOSKELETAL DISORDERS,TECHNIQUES IN SHOULDER AND ELBOW SURGERY,INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,IISE TRANSACTIONS ON OCCUPATIONAL ERGONOMICS & HUMAN FACTORS,GAIT & POSTURE,GAIT & POSTURE,BIOMEDICAL ENGINEERING ONLINE,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,EXPERT REVIEW OF MEDICAL DEVICES,BMC MUSCULOSKELETAL DISORDERS,BMC MUSCULOSKELETAL DISORDERS,JOURNAL OF BIOMECHANICS,SENSORS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY,MANUAL THERAPY,JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,PHYSIOLOGICAL MEASUREMENT,IMAGE ANALYSIS AND RECOGNITION, ICIAR 2014, PT II,MEDICINA DELLO SPORT
307890841	Shaheen 2011’	JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,JOURNAL OF SPORT REHABILITATION,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,CLINICAL BIOMECHANICS,JOURNAL OF SPORTS SCIENCES,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS
307890843	Shaheen 2011’’	JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,MEDICAL PROBLEMS OF PERFORMING ARTISTS,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,ANNALS OF BIOMEDICAL ENGINEERING,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,GAIT & POSTURE,JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS
307890851	Bourne 2011	SENSORS,JOURNAL OF CLINICAL MEDICINE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,EUROPEAN JOURNAL OF SPORT SCIENCE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,MEDICAL ENGINEERING & PHYSICS,JOURNAL OF BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,REVISTA INTERNACIONAL DE METODOS NUMERICOS PARA CALCULO Y DISENO EN INGENIERIA,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,PLOS ONE,JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF APPLIED BIOMECHANICS,GAIT & POSTURE
307890853	Jaspers 2011’	ANNALS OF PHYSICAL AND REHABILITATION MEDICINE,BURNS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,SCIENTIFIC REPORTS,ANNALS OF PHYSICAL AND REHABILITATION MEDICINE,SCIENTIFIC REPORTS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MEDICAL ENGINEERING & PHYSICS,PLOS ONE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF HAND SURGERY-EUROPEAN VOLUME,BMC NEUROLOGY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,NEUROMUSCULAR DISORDERS,CLINICAL BIOMECHANICS,GAIT & POSTURE,PLOS ONE,PLOS ONE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,INFANT BEHAVIOR & DEVELOPMENT,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,NEURAL PLASTICITY,CHILDS NERVOUS SYSTEM,FRONTIERS IN HUMAN NEUROSCIENCE,PLOS ONE,JOURNAL OF NEUROENGINEERING AND REHABILITATION,GAIT & POSTURE,PHYSIOLOGICAL MEASUREMENT,JOURNAL OF MEDICAL SYSTEMS,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,JOURNAL OF BIOMECHANICS,JOURNAL OF PHYSICAL THERAPY SCIENCE,SPORTS BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,PLOS ONE,GAIT & POSTURE,JOURNAL OF PHYSICAL THERAPY SCIENCE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,JOURNAL OF BIOMECHANICS,RESEARCH IN DEVELOPMENTAL DISABILITIES,GAIT & POSTURE
307890883	Lovern 2009	JOURNAL OF ORTHOPAEDIC RESEARCH,SENSORS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,BMC SPORTS SCIENCE MEDICINE AND REHABILITATION,INTERNATIONAL JOURNAL OF HUMANOID ROBOTICS,JOURNAL OF BIOMECHANICS,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,JOURNAL OF BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,MULTIBODY SYSTEM DYNAMICS,HUMAN MOVEMENT SCIENCE,INTERNATIONAL ORTHOPAEDICS,JOURNAL OF APPLIED BIOMECHANICS,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING
