Id	Fontes	Ref_Cit
307890692	Cutti 2014	BRITISH JOURNAL OF SPORTS MEDICINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,GAIT & POSTURE,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,CLINICAL BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,GAIT & POSTURE,GAIT & POSTURE,CLINICAL BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,MANUAL THERAPY,CLINICAL BIOMECHANICS,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,JOURNAL OF SHOULDER AND ELBOW SURGERY,CLINICAL BIOMECHANICS,GAIT & POSTURE,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,GAIT & POSTURE,ANNALS OF STATISTICS
307891381	de Baets 2013	JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,STROKE,JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,GAIT & POSTURE,JOURNAL OF MOTOR BEHAVIOR,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,GAIT & POSTURE,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF REHABILITATION MEDICINE,PHYSICAL THERAPY,BMC MUSCULOSKELETAL DISORDERS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,STROKE,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,GAIT & POSTURE,STROKE,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,MEDICAL CARE,JOURNAL OF ORTHOPAEDIC RESEARCH,BRITISH MEDICAL JOURNAL
307891224	de Baets 2020	SENSORS,GAIT & POSTURE,MANUAL THERAPY,JOURNAL OF BIOMECHANICS,SENSORS,JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY,PHYSIOTHERAPY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,CLINICAL RHEUMATOLOGY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,GAIT & POSTURE,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF REHABILITATION MEDICINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH
307888762	Fayad 2006	CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,EXPERIMENTAL BRAIN RESEARCH,CLINICAL BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF APPLIED BIOMECHANICS,ANNALS OF THE RHEUMATIC DISEASES,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF SHOULDER AND ELBOW SURGERY,BRITISH MEDICAL JOURNAL,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF NEUROSCIENCE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,ANNALS OF THE RHEUMATIC DISEASES,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLINICAL BIOMECHANICS,JOURNAL OF RHEUMATOLOGY,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,ARTHRITIS AND RHEUMATISM,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891026	Finley 2003	JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,ORTHOPEDIC CLINICS OF NORTH AMERICA,PHYSICAL THERAPY,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891249	Gonçalves 2019	GAIT & POSTURE,CURRENT REVIEWS IN MUSCULOSKELETAL MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,GAIT & POSTURE,GAIT & POSTURE,JOURNAL OF APPLIED BIOMECHANICS,MANUAL THERAPY,JOURNAL OF BIOMECHANICS,ANNALS OF BIOMEDICAL ENGINEERING,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,BMC MUSCULOSKELETAL DISORDERS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,GAIT & POSTURE,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF MENTAL DEFICIENCY
307891369	Haik 2014	JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF SPORT REHABILITATION,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,MANUAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,BRITISH JOURNAL OF SPORTS MEDICINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF SHOULDER AND ELBOW SURGERY,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF REHABILITATION MEDICINE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF CLINICAL EPIDEMIOLOGY,PHYSICAL THERAPY,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,ANNALS OF INTERNAL MEDICINE,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,QUALITY OF LIFE RESEARCH,PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,AMERICAN JOURNAL OF SPORTS MEDICINE,AMERICAN JOURNAL OF SPORTS MEDICINE,PSYCHOLOGICAL BULLETIN,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307889092	Hajizadeh 2019	JOURNAL OF BIOMECHANICS,CANADIAN JOURNAL OF APPLIED PHYSIOLOGY,MULTIBODY SYSTEM DYNAMICS,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,ADVANCES IN ROBOT KINEMATICS,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY IN SPORT,DOES THE ASSESSOR’S EXPERIENCE MATTER WHEN WE EVALUATE THE KINEMATICS OF THE UPPER LIMB?,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,J BONE JOINT SURG,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF ORTHOPAEDIC RESEARCH,GAIT AND POSTURE,JOURNAL OF ORTHOPAEDIC AND SPORTS PHYSICAL THERAPY,JOURNAL OF SHOULDER AND ELBOW SURGERY,INTERNATIONAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,ANNALS OF THE RHEUMATIC DISEASES,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BIOMECHANICS,EXPERIMENTAL BRAIN RESEARCH,JOURNAL OF SHOULDER AND ELBOW SURGERY
307891241	Hansen 2019	DISABILITY AND REHABILITATION,JOURNAL OF BIOMECHANICS,TOPICS IN STROKE REHABILITATION,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,TRIALS,INTERNATIONAL JOURNAL OF STROKE,MOTOR CONTROL,PHYSIOLOGICAL MEASUREMENT,JOURNAL OF NEUROENGINEERING AND REHABILITATION,NEUROREHABILITATION AND NEURAL REPAIR,HUMAN MOVEMENT SCIENCE,JOURNAL OF NEUROENGINEERING AND REHABILITATION,NEUROREHABILITATION AND NEURAL REPAIR,PLOS ONE,NEUROREHABILITATION,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,BMC NEUROLOGY,PLOS ONE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF HAND THERAPY,INDIAN JOURNAL OF ORTHOPAEDICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,NEUROREHABILITATION,DISABILITY AND REHABILITATION,INTERNATIONAL JOURNAL OF NURSING STUDIES,GAIT & POSTURE,ANNALS OF BIOMEDICAL ENGINEERING,GAIT & POSTURE,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,BMC MUSCULOSKELETAL DISORDERS,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,DISABILITY AND REHABILITATION,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,STROKE
307890574	Herisson 2017	JOURNAL OF SHOULDER AND ELBOW SURGERY,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,GAIT & POSTURE,CLINICAL BIOMECHANICS,GAIT & POSTURE,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF PEDIATRIC ORTHOPAEDICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL REHABILITATION,CURRENT OPINION IN PEDIATRICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,PLASTIC AND RECONSTRUCTIVE SURGERY,REVUE DE CHIRURGIE ORTHOPEDIQUE ET REPARATRICE DE L APPAREIL MOTEUR
