Id	Fontes	Ref_Cit
307888488	Höglund 2021	JOURNAL OF PEDIATRIC ORTHOPAEDICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MANUAL THERAPY,SENSORS,GAIT & POSTURE,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,PHYSIOLOGICAL MEASUREMENT,NEUROSURGERY CLINICS OF NORTH AMERICA,JOURNAL OF APPLIED BIOMECHANICS,CURRENT PROBLEMS IN PEDIATRIC AND ADOLESCENT HEALTH CARE,SENSORS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,SENSORS,JOURNAL OF SHOULDER AND ELBOW SURGERY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS
307891503	Illyés 2006	CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF MEDICAL ENGINEERING & TECHNOLOGY,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307890853	Jaspers 2011’	GAIT & POSTURE,GAIT & POSTURE,GAIT & POSTURE,ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,CLINICAL BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,GAIT & POSTURE,GAIT & POSTURE,GAIT & POSTURE,EXPERIMENTAL BRAIN RESEARCH,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,GAIT & POSTURE,EXPERIMENTAL BRAIN RESEARCH,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,MEDICAL CARE,JOURNAL OF ORTHOPAEDIC RESEARCH
307891426	Jaspers 2011’’	JOURNAL OF BIOMECHANICS,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,GAIT & POSTURE,GAIT & POSTURE,GAIT & POSTURE,PHYSICAL MEDICINE AND REHABILITATION CLINICS OF NORTH AMERICA,GAIT & POSTURE,CLINICAL BIOMECHANICS,GAIT & POSTURE,GAIT & POSTURE,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,GAIT & POSTURE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,GAIT & POSTURE,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891052	Karduna 2001	PHYSICAL THERAPY,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF ORAL REHABILITATION,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,HUMAN MOVEMENT SCIENCE,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,HUMAN MOVEMENT SCIENCE,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF BIOMECHANICS,EQUINE VETERINARY JOURNAL,JOURNAL OF BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891081	Koh 1998	JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891213	Kolz 2020	JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF APPLIED BIOMECHANICS,4TH INTERNATIONAL CONFERENCE ON CIVIL AND ENVIRONMENTAL ENGINEERING FOR SUSTAINABILITY (ICONCEES 2017),JOURNAL OF THE BELGIAN SOCIETY OF RADIOLOGY,ANNALS OF BIOMEDICAL ENGINEERING,MEDICAL ENGINEERING & PHYSICS,PLOS ONE,GAIT & POSTURE,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,BONE & JOINT JOURNAL,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC SCIENCE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS
307891243	Lang 2019	JOURNAL OF BIOMECHANICS,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,BRITISH JOURNAL OF SPORTS MEDICINE,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,BRITISH JOURNAL OF SPORTS MEDICINE,BRAZILIAN JOURNAL OF PHYSICAL THERAPY,HUMAN MOVEMENT SCIENCE,HUMAN MOVEMENT SCIENCE,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY,BRITISH JOURNAL OF SPORTS MEDICINE,BREAST CANCER RESEARCH AND TREATMENT,JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,ANNALS OF THE RHEUMATIC DISEASES,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF CLINICAL ONCOLOGY,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION
307890988	Lin 2005’	MEDICAL CARE,ANNALS OF THE RHEUMATIC DISEASES,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,PHYSICAL THERAPY,RHEUMATOLOGY,PHYSICAL THERAPY,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,DISABILITY AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,MUSCLE & NERVE,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,PHYSICAL THERAPY,AMERICAN JOURNAL OF SPORTS MEDICINE,PAIN,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,AMERICAN JOURNAL OF SPORTS MEDICINE,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,ANNALS OF THE RHEUMATIC DISEASES,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,CLINICAL BIOMECHANICS,BRITISH MEDICAL JOURNAL,SCANDINAVIAN JOURNAL OF REHABILITATION MEDICINE,SCANDINAVIAN JOURNAL OF REHABILITATION MEDICINE,PHYSICAL THERAPY,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,PSYCHOLOGICAL BULLETIN
307891511	Lin 2005’’	MEDICAL CARE,CLINICAL BIOMECHANICS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,RHEUMATOLOGY,PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,DISABILITY AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,PAIN,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,AMERICAN JOURNAL OF SPORTS MEDICINE,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF ORTHOPAEDIC RESEARCH,BRITISH MEDICAL JOURNAL,SCANDINAVIAN JOURNAL OF REHABILITATION MEDICINE
307890883	Lovern 2009	JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,CLINICAL BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH
322526725	Ludewig 2000	JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,PHYSICAL THERAPY,AMERICAN JOURNAL OF ROENTGENOLOGY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,AMERICAN JOURNAL OF SPORTS MEDICINE,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,ARTHROSCOPY,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY AND OCCUPATIONAL PHYSIOLOGY,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY AND OCCUPATIONAL PHYSIOLOGY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,ORTHOPEDICS,AMERICAN JOURNAL OF SPORTS MEDICINE,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,ERGONOMICS,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,CLINICAL BIOMECHANICS,CLINICS IN SPORTS MEDICINE,CLINICS IN SPORTS MEDICINE,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BIOMECHANICS,SCANDINAVIAN JOURNAL OF REHABILITATION MEDICINE,BRITISH JOURNAL OF INDUSTRIAL MEDICINE,ORTHOPEDIC CLINICS OF NORTH AMERICA,AMERICAN JOURNAL OF SPORTS MEDICINE,ACTA ORTHOPAEDICA SCANDINAVICA,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,BRITISH JOURNAL OF INDUSTRIAL MEDICINE,ACTA ORTHOPAEDICA SCANDINAVICA,PHYSICAL THERAPY,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307888490	Mahon 2017	JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,GAIT & POSTURE,RESEARCH IN DEVELOPMENTAL DISABILITIES,INTERNATIONAL ORTHOPAEDICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF NEUROSURGERY-PEDIATRICS,JOURNAL OF HAND SURGERY-EUROPEAN VOLUME,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,GAIT & POSTURE,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,GAIT & POSTURE,JOURNAL OF CLINICAL EPIDEMIOLOGY,CHILDS NERVOUS SYSTEM,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,JOURNAL OF PEDIATRIC ORTHOPAEDICS,GAIT & POSTURE,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF HAND SURGERY-EUROPEAN VOLUME,GAIT & POSTURE,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,GAIT & POSTURE,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,CURRENT OPINION IN PEDIATRICS,JOURNAL OF PEDIATRIC ORTHOPAEDICS,CLINICAL BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,GAIT & POSTURE,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,PHYSICAL THERAPY,CLINICAL REHABILITATION,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,LANCET
307891431	Massimini 2011	JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING,ACTA ORTHOPAEDICA,ACTA ORTHOPAEDICA,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC SCIENCE,SPINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,OSTEOARTHRITIS AND CARTILAGE,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,AMERICAN JOURNAL OF SPORTS MEDICINE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF MAGNETIC RESONANCE IMAGING,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,MEDICAL PHYSICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,SKELETAL RADIOLOGY,MEDICAL PHYSICS,ACTA ORTHOPAEDICA SCANDINAVICA
307891495	Meskers 2007	JOURNAL OF BIOMECHANICS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,STATISTICAL SCIENCE,CLINICAL BIOMECHANICS
307891480	Meyer 2008	JOURNAL OF APPLIED BIOMECHANICS,ORTHOPEDIC CLINICS OF NORTH AMERICA,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF APPLIED BIOMECHANICS,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,AMERICAN JOURNAL OF SPORTS MEDICINE,SPORTS MEDICINE,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891328	Michener 2016	BRITISH JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,MANUAL THERAPY,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF SPORT REHABILITATION,BRITISH JOURNAL OF SPORTS MEDICINE,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF SPORT REHABILITATION,JOURNAL OF CLINICAL EPIDEMIOLOGY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,BMC MUSCULOSKELETAL DISORDERS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF REHABILITATION MEDICINE,MANUAL THERAPY,JOURNAL OF ATHLETIC TRAINING,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,PHYSICAL THERAPY,RESEARCH IN NURSING & HEALTH,JOURNAL OF SPORT REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,PHYSICAL THERAPY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,ANNALS OF INTERNAL MEDICINE,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY
307891104	Michiels 1995	ABH. MATH-PHYS. CL. D. K. SÄCHS GESELLSCH. D. WISS.,THE SHOULDER: RUPTURE OF THE SUPRASPINATUS TENDON AND OTHER LESIONS IN OR ABOUT THE SUBACROMIAL BURSA,SHOULDER PAIN,MED J AUST,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,J BONE JOINT SURG,THE JOURNAL OF BONE AND JOINT SURGERY. AMERICAN VOLUME,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF BONE AND JOINT SURGERY - SERIES A,AMERICAN JOURNAL OF PHYSICAL MEDICINE AND REHABILITATION,BIOMEDIZINISCHE TECHNIK,THE AMERICAN JOURNAL OF SPORTS MEDICINE,THEORY OF SHOULDER MECHANISM: DESCRIPTIVE AND APPLIED,BRITISH JOURNAL OF SURGERY,SURGERY OF THE SHOULDER,HEFTE ZUR UNFALLHEILKUNDE,INAUGURAL DISSERTATION,REVUE DE CHIRURGIE ORTHOPEDIQUE ET REPARATRICE DE L'APPAREIL MOTEUR
307891270	Mozingo 2018	JOURNAL OF BIOMECHANICS,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,CLINICAL BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL ENGINEERING & PHYSICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL BIOMECHANICS,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,ACTA ORTHOPAEDICA SCANDINAVICA
307890974	Myers 2006	JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,AMERICAN JOURNAL OF SPORTS MEDICINE,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,BEHAVIOR RESEARCH METHODS INSTRUMENTS & COMPUTERS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,CLINICAL BIOMECHANICS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,SURGICAL AND RADIOLOGIC ANATOMY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,CLINICAL BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,PSYCHOLOGICAL BULLETIN
307891300	Nicholson 2017	JOURNAL OF BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,HUMAN MOVEMENT SCIENCE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,ANNALS OF BIOMEDICAL ENGINEERING,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,JOURNAL OF PEDIATRIC ORTHOPAEDICS,ORTHOPEDICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,PHYSICAL THERAPY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS
